No,ServiceProvider (by Company Website),Customer,Company_Name (standarized),AWS,Azura,Google Could,Oracle Cloud,IBM Cloud,Alibaba Cloud,AWS_pct,Azura_pct,Google Could_pct,Oracle Cloud_pct,IBM Cloud_pct,Alibaba Cloud_pct,Main Service_Provider (by pct)
1,AWS,Coursera,coursera,518000,38300,1600000,413000,440000,137000,16,1,50,13,13,4,Google Could
2,AWS,Palringo,palringo,23100,642,30200,10300,12100,5960,28,0,36,12,14,7,Google Could
3,AWS,ZocDoc,zocdoc,20500,2610,53900,28700,17200,11000,15,1,40,21,12,8,Google Could
4,AWS,Fox Digital Consumer Group,fox digital consumer group,611000,59000,6830000,1760000,1980000,756000,5,0,56,14,16,6,Google Could
5,AWS,Travelex,travelex,35300,9000,65000,48700,42700,22900,15,4,29,21,19,10,Google Could
6,AWS,WeWork,wework,1420000,18200,1220000,349000,371000,176000,39,0,34,9,10,4,AWS
7,AWS,McDonald's,mcdonald,2240000,286000,17500000,2710000,4270000,1230000,7,1,61,9,15,4,Google Could
8,AWS,Verizon Wireless ,verizon wireless,1140000,48500,7240000,1300000,1240000,473000,9,0,63,11,10,4,Google Could
9,AWS,GoPro,gopro,1770000,210000,12500000,1690000,2330000,1800000,8,1,61,8,11,8,Google Could
10,AWS,Vend,vend,265000,31200,1860000,405000,331000,93400,8,1,62,13,11,3,Google Could
11,AWS,The Washington Post,washington post,8500000,372000,64900000,6350000,7720000,1150000,9,0,72,7,8,1,Google Could
12,AWS,Corteva Agriscience,corteva agriscience,19800,6770,41400,20700,41900,18300,13,4,27,13,28,12,IBM Cloud
13,AWS,Cookpad,cookpad,319000,16400,272000,80800,106000,23800,38,2,33,9,12,2,AWS
14,AWS,Veritone,veritone,22500,13700,1610000,18000,1060000,13700,0,0,58,0,38,0,Google Could
15,AWS,EBSCO,ebsco,52800,5960,196000,69500,65900,10700,13,1,48,17,16,2,Google Could
16,AWS,Segment,segment,6980000,110000,30000000,6450000,6680000,751000,13,0,58,12,13,1,Google Could
17,AWS,Vidsy,vidsy,1670,0,891,275,437,11200,11,0,6,1,3,77,Alibaba Cloud
18,AWS,Honeywell Movilizer,honeywell movilizer,8540,16,1350,1790,960,347,65,0,10,13,7,2,AWS
19,AWS,Remind ,remind,968000,161000,23100000,1130000,701000,655000,3,0,86,4,2,2,Google Could
20,AWS,Pearson,pearson,1740000,176000,6960000,2810000,2710000,328000,11,1,47,19,18,2,Google Could
21,AWS,TIBCO ,tibco,1780000,31200,1850000,2490000,2840000,663000,18,0,19,25,29,6,IBM Cloud
22,Azure,Adobe,adobe,19900000,324000,122000000,59200000,19700000,5210000,8,0,53,26,8,2,Google Could
23,Azure,DriveTime,drivetime,39700,40000,203000,59700,45600,21200,9,9,49,14,11,5,Google Could
24,Azure,Johnson Controls,johnson controls,1590000,277000,8220000,6030000,6490000,815000,6,1,35,25,27,3,Google Could
25,Azure,A.P. Moller - Maersk,ap moller  maersk,291000,38000,130000,70000,73600,86500,42,5,18,10,10,12,AWS
26,Azure,HP,hp,20300000,2630000,117000000,19100000,22000000,8450000,10,1,61,10,11,4,Google Could
27,Azure,IHG,ihg,210000,13500,606000,161000,173000,46400,17,1,50,13,14,3,Google Could
28,Azure,ASOS,asos,717000,488000,3010000,372000,508000,1450000,10,7,45,5,7,22,Google Could
29,Azure,Pacifico Seguros,pacifico seguros,102000,34200,493000,888000,478000,5,5,1,24,44,23,0,Oracle Cloud
