,No,ServiceProvider,Customer,Company_Name,AWS,Azura,Google Could,Oracle Cloud,IBM Cloud,Alibaba Cloud,AWS_pct,Azura_pct,Google Could_pct,Oracle Cloud_pct,IBM Cloud_pct,Alibaba Cloud_pct,Service_Provider
0,1,AWS,Coursera,coursera,708000,38200,261000,28100,31100,38800,64,3,23,2,2,3,AWS
1,2,AWS,Palringo,palringo,33100,655,4690,241,235,76,84,1,12,0,0,0,AWS
2,3,AWS,ZocDoc,zocdoc,63700,3220,20900,7700,548,13300,58,2,19,7,0,12,AWS
3,4,AWS,Fox Digital Consumer Group,fox digital consumer group,1351000,56500,187000,33200,35100,82300,77,3,10,1,2,4,AWS
4,5,AWS,Travelex,travelex,239000,9500,23400,1480,2660,3830,85,3,8,0,0,1,AWS
5,6,AWS,WeWork,wework,2580000,19100,185000,89800,97700,51500,85,0,6,2,3,1,AWS
6,7,AWS,McDonald's,mcdonald,3620000,816000,907000,71800,57300,301000,62,14,15,1,0,5,AWS
7,8,AWS,Verizon Wireless ,verizon wireless,1467000,170000,291000,120,159000,110000,66,7,13,0,7,5,AWS
8,9,AWS,GoPro,gopro,4810000,1890000,2330000,24100,220000,158000,50,20,24,0,2,1,AWS
9,10,AWS,Vend,vend,511000,147000,111000,28800,31200,33500,59,17,12,3,3,3,AWS
10,11,AWS,The Washington Post,washington post,10960000,325000,597000,106000,82700,64000,90,2,4,0,0,0,AWS
11,12,AWS,Corteva Agriscience,corteva agriscience,36100,6530,9540,2280,1460,280,64,11,16,4,2,0,AWS
12,13,AWS,Cookpad,cookpad,472000,17100,79900,651,7040,1770,81,2,13,0,1,0,AWS
13,14,AWS,Veritone,veritone,42700,15200,2650,17400,11100,266,47,17,2,19,12,0,AWS
14,15,AWS,EBSCO,ebsco,155700,5740,29400,11600,2270,15200,70,2,13,5,1,6,AWS
15,16,AWS,Segment,segment,9880000,411000,696000,181000,160,138000,87,3,6,1,0,1,AWS
16,17,AWS,Vidsy,vidsy,119001660,565000,8860,60,19,10200000,91,0,0,0,0,7,AWS
17,18,AWS,Honeywell Movilizer,honeywell movilizer,8957,0,160,46,40,0,97,0,1,0,0,0,AWS
18,19,AWS,Remind ,remind,18795000,145000,110000,54900,56000,205000,97,0,0,0,0,1,AWS
19,20,AWS,Pearson,pearson,2640000,177000,238000,45600,35800,19100,83,5,7,1,1,0,AWS
20,21,AWS,TIBCO ,tibco,2456000,34400,792000,108000,106000,31900,69,0,22,3,3,0,AWS
21,22,Azure,Adobe,adobe,41900000,365000,9710000,323000,277000,120000,79,0,18,0,0,0,AWS
22,23,Azure,DriveTime,drivetime,52900,44100,54400,30000,29200,25100,22,18,23,12,12,10,Google Could
23,24,Azure,Johnson Controls,johnson controls,4870000,321000,673000,72100,142000,64400,79,5,10,1,2,1,AWS
24,25,Azure,A.P. Moller - Maersk,ap moller  maersk,368000,9,22500,15300,1990,598,90,0,5,3,0,0,AWS
25,26,Azure,HP,hp,36600000,2180000,0,388000,540,2940000,86,5,0,0,0,6,AWS
26,27,Azure,IHG,ihg,358000,41400,69200,11200,5180,7290,72,8,14,2,1,1,AWS
